Layer,Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10,CellAVG,Obs
EPA-2,0.144,0.266,0.347,0.204,0.129,0.347,0.129,0.144,0.532,0.064,0.23060,16
EPA-2,0,0.322,0.777,0.322,0.091,0.516,0,0.129,0.721,0.47,0.33480,17
EPA-2,0,0.129,0.595,0.387,0.064,0.555,0.064,0.376,0.595,0.322,0.30870,18
EPA-2,0.129,0.129,0.608,0,0.091,0.193,0.182,0.266,0.144,0.47,0.22120,19
EPA-2,0,0.129,0.491,0.233,0.182,0,0.129,0,0.322,1.168,0.26540,20
EPA-2,0.193,0.182,0.456,0.233,0.266,0.144,0.064,0.322,0.451,1.42,0.37310,21
EPA-2,0.064,0.064,0.376,0.266,0.129,0.129,0.266,0.329,0.735,0.408,0.27660,22
EPA-2,0.144,0.204,0,0.064,0.182,0,0,0.064,0.47,0.204,0.13320,23
EPA-2,0.129,0.288,0.71,0.288,0,0.091,0.129,0.551,0.516,1.008,0.37100,24
EPA-2,0,0.258,0.204,0.204,0.182,0.064,0.129,0.193,0.387,1.267,0.28880,25
EPA-2,0.129,0.258,0.258,0.274,0,0.392,0.129,0.144,0.266,0.52,0.23700,26
EPA-2,0,0.288,0.408,0.392,0.091,0.233,0.064,0.144,0.433,0.204,0.22570,27
EPA-2,0,0.144,0.329,0,0.064,0.985,0.091,0.204,0.912,0.816,0.35450,28
EPA-2,0,0.129,0.504,0.091,0.204,2.968,0.129,0.193,1.485,0.841,0.65440,29
EPA-2,0.129,0.064,0.288,0.204,0.182,0.129,0.387,0.129,0.329,1.05,0.28910,30
EPA-2,0.091,0.144,0,0,0,0.595,0.064,0.182,0.322,1.081,0.24790,31
EPA-2,0.712,0.581,0.204,0.129,0.064,1.126,0.091,0.064,0.064,0.896,0.39310,32
EPA-2,0.347,0.144,0.456,0.182,0.091,1.064,0.064,0.204,0.673,0.288,0.35130,33
EPA-2,1.104,0.193,0.347,0.144,0.064,0.433,0.064,0.322,0.877,0.826,0.43740,34
EPA-2,0.376,0.182,0.258,0,0,0.456,0.204,0.233,0.787,1.306,0.38020,35
EPA-2,0.091,0.288,0.193,0.193,0.182,0.204,0.144,0.451,0.712,1.186,0.36440,36
EPA-2,0,0.064,0.144,0.144,0.064,0.456,0.144,0.233,0.612,0.848,0.27090,37
EPA-2,0.064,0.322,0.064,0.064,0.258,0.193,0.288,0,0.288,0.452,0.19930,38
EPA-2,0.204,0,0.204,0.258,0.129,0.322,0.645,0.258,0.182,0.408,0.26100,39
EPA-2,0.465,0.064,0.144,0.413,0,0.288,0.129,0.129,0.193,0.645,0.24700,40
FSL-1,0,0,0,0,0.129,0.204,0,0,0.673,0,0.10060,1
FSL-1,0.193,0.091,0,0,0,0,0.129,0.433,0.193,0.329,0.13680,2
FSL-1,0.266,0,0,0,0.064,0.129,0.064,0,0.329,0,0.08520,3
FSL-1,0,0.193,0.064,0,0,0.144,0.064,0.182,0.266,0.233,0.11460,4
FSL-1,0,0,0,0.233,0,0,0.129,0.091,0.433,0,0.08860,5
FSL-1,0,0,0.193,0.365,0,0.064,0.064,0.064,0.064,0,0.08140,6
FSL-1,0,0,0.064,0.258,0,0.233,0.204,0.288,0.193,0.233,0.14730,7
FSL-1,0,0.258,0,0.193,0.129,0.064,0.064,0,0.635,0.329,0.16720,8
FSL-1,0,0,0,0.144,0.064,0.129,0,0.129,0.504,0.064,0.10340,9
FSL-1,0,0,0.721,0.129,0.322,0.064,0,0.322,0.52,0.194,0.22720,10
FSL-1,0,0,0,0.064,0,0.064,0,0,0.985,0.413,0.15260,11
FSL-1,0,0,0.064,0,0.288,0,0.387,0.064,0.47,0.322,0.15950,12
FSL-1,0.193,0,0.144,0,0,0,0,0,0.52,0.516,0.13730,13
FSL-1,0,0.064,0,0.064,0,0,0,0,0.612,0.635,0.13750,14
FSL-1,0.288,0.129,0.258,0.258,0,0.144,0.144,0.387,0.091,0.194,0.18930,15
FSL-1,0.064,0,0.064,0,0.064,0,0.258,0.091,0.516,0.129,0.11860,16
FSL-1,0.322,0.233,0,0,0.144,0.129,0,0.193,0.735,0.392,0.21480,17
FSL-1,0,0,0,0.064,0.064,0,0.064,0.064,0.413,0,0.06690,18
FSL-1,0,0.129,0,0.091,0,0.347,0,0.064,0.091,0.52,0.12420,19
FSL-1,0,0.182,0,0,0,0.413,0.233,0.129,0.52,0.387,0.18640,20
FSL-1,0,0.091,0,0,0,0,0,0.064,0.258,0.329,0.07420,21
FSL-1,0.516,0.064,0,0.144,0,0.144,0,0.144,0.392,0.288,0.16920,22
FSL-1,0.064,0.491,0.064,0,0,0.408,0.635,0.144,0.392,0.456,0.26540,23
FSL-1,0.408,0,0.392,0.091,0,0.392,0.826,0,0.452,0.144,0.27050,24
FSL-1,0,0,0.064,0.193,0.266,0,0.329,0.258,0.52,0.288,0.19180,25
FSL-1,0,0.193,0.193,0,0,0.129,0.322,0.329,0.392,0.266,0.18240,26
FSL-1,0.193,0.204,0,0,0,0,0,0.347,0,0.433,0.11770,27
FSL-1,0,0.182,0.387,0.721,0,0,0,0.204,0.721,0.091,0.23060,28
FSL-1,0,0.233,0.129,0.658,0.288,0,0,0.233,0.456,0.144,0.21410,29
FSL-1,0,0.144,0.322,0.144,0.266,0.204,0.204,0.347,0,0.182,0.18130,30
FSL-1,0.091,0.064,0,0,0,0,0,0.516,0.129,0.266,0.10660,31
FSL-1,0.193,0.129,0.193,0.193,0.144,0.064,0.266,0.064,0.204,0.322,0.17720,32
FSL-1,0.182,0.451,0,0.322,0,0.608,0.064,0.129,0.456,0.129,0.23410,33
FSL-1,0.129,0.204,0.064,0.258,0,0.413,0.274,0.233,0.491,0.322,0.23880,34
FSL-1,0,0.064,0,0.064,0,0.193,0,0.064,0.433,0.064,0.08820,35
FSL-1,0.091,0,0,0.516,0.595,0.392,0,0,0.645,0.064,0.23030,36
FSL-1,0.129,0,0,0.274,0,0.064,0.091,0.658,0.194,0.194,0.16040,37
FSL-1,0,0.091,0.288,0.322,0.532,0.193,0,0.258,0.266,0.266,0.22160,38
FSL-1,0.392,0.347,0.091,0.347,0.144,0,0.266,0.064,0.144,0.194,0.19890,39
FSL-1,0,0.129,0,0.129,0,0,0.064,0.064,0.144,0.194,0.07240,40
FSL-2,0.376,0.144,0.329,0.193,0.204,0.129,0.129,0.258,0.182,0.266,0.22100,1
FSL-2,0,0.144,0.329,0.144,0.233,0.288,0.091,0.288,0.266,0,0.17830,2
FSL-2,0.204,0.129,0.233,0.392,0.064,0,0.129,0.064,0.322,0.129,0.16660,3
FSL-2,0.193,0.064,0.064,0.347,0.144,0.376,0,0.064,0.233,0.194,0.16790,4
FSL-2,0.182,0,0.182,0.204,0,0,0.144,0.258,0.144,0,0.11140,5
FSL-2,0.204,0.193,0.233,0.204,0.144,0.233,0,0,0.064,0,0.12750,6
FSL-2,0,0.204,0,0.258,0,0.064,0,0,0.204,0,0.07300,7
FSL-2,0.258,0.091,0.129,0.258,0.064,0,0,0.258,0.182,0.064,0.13040,8
FSL-2,0.064,0.129,0,0.233,0,0.129,0.064,0.129,0.064,0,0.08120,9
FSL-2,0.064,0.193,0.064,0.392,0,0,0,0.129,0.129,0.064,0.10350,10
FSL-2,0,0.064,0.091,0.288,0.129,0.064,0.182,0.064,0,0.392,0.12740,11
FSL-2,0.064,0.266,0.129,0.129,0.233,0,0.064,0.129,0,0,0.10140,12
FSL-2,0.064,0,0.064,0.392,0.064,0.129,0.064,0,0.064,0,0.08410,13
FSL-2,0,0.064,0.064,0.193,0.258,0.288,0.064,0.144,0.322,0,0.13970,14
FSL-2,0,0.204,0,0.204,0.129,0,0,0.064,0,0.129,0.07300,15
FSL-2,0.064,0.233,0.233,0.387,0.144,0.194,0,0.144,0,0.064,0.14630,16
FSL-2,0,0.144,0,0.091,0,0.129,0.258,0.064,0,0.129,0.08150,17
FSL-2,0.144,0.064,0.144,0.144,0.204,0,0,0.258,0.064,0.129,0.11510,18
FSL-2,0,0.129,0,0.233,0,0,0.064,0.329,0.064,0.064,0.08830,19
FSL-2,0.064,0.144,0.433,0.129,0,0.064,0.274,0.064,0.064,0.129,0.13650,20
FSL-2,0,0.064,0.204,0.288,0,0.064,0.322,0.064,0.064,0.194,0.12640,21
FSL-2,0.266,0.144,0.193,0.064,0,0.144,0.064,0.091,0.091,0,0.10570,22
FSL-2,0.129,0.129,0.129,0.182,0.322,0,0.194,0,0.144,0.376,0.16050,23
FSL-2,0,0.064,0,0.408,0.129,0.129,0,0.233,0.064,0,0.10270,24
FSL-2,0,0,0.129,0.144,0.129,0,0.064,0,0.064,0.144,0.06740,25
FSL-2,0,0.204,0,0.288,0,0.204,0.392,0.064,0.064,0.144,0.13600,26
FSL-2,0.064,0.266,0,0.322,0,0.129,0.47,0.129,0,0.266,0.16460,27
FSL-2,0,0.129,0.193,0.413,0.091,0,0,0.064,0.144,0,0.10340,28
FSL-2,0,0,0.329,0.144,0.064,0.194,0.194,0,0,0.194,0.11190,29
FSL-2,0,0.581,0.064,0.204,0.129,0.064,0.064,0,0.274,0.322,0.17020,30
FSL-2,0.376,0.322,0.266,0.144,0.274,0,0.144,0,0.322,0.266,0.21140,31
FSL-2,0.129,0.129,0.258,0.091,0.064,0.322,0.091,0.204,0,0.194,0.14820,32
FSL-2,0,0.193,0.258,0.233,0.091,0.129,0,0.129,0,0,0.10330,33
FSL-2,0.193,0.329,0.129,0.233,0.387,0.288,0,0.204,0.129,0,0.18920,34
FSL-2,0,0.144,0.347,0.258,0.194,0.129,0.144,0.204,0.091,0.064,0.15750,35
FSL-2,0.091,0.193,0.376,0.144,0,0.288,0,0.456,0.322,0.144,0.20140,36
FSL-2,0,0.288,0.144,0.204,0.064,0.064,0.064,0.064,0.129,0,0.10210,37
FSL-2,0.129,0,0.204,0.144,0.064,0.329,0,0.064,0.064,0.194,0.11920,38
FSL-2,0.204,0.233,0.193,0.193,0.194,0.266,0.064,0.144,0.233,0.091,0.18150,39
FSL-2,0,0.266,0.129,0.129,0.144,0.129,0.258,0,0,0.233,0.12880,40
RSL-1,0.144,0.233,0,0.721,0.182,0.266,0.504,0,0,0,0.20500,1
RSL-1,0.258,0,0.322,0.504,0.144,0,0.595,0.266,0.376,0,0.24650,2
RSL-1,0.465,0.193,0.266,0,0.204,0.193,0.376,0,0,0.129,0.18260,3
RSL-1,0.798,0,0.698,0.322,0,0,0.413,0.504,0.322,0.064,0.31210,4
RSL-1,0.923,0,0.735,0.47,0.129,0.129,0.648,0,0,0.376,0.34100,5
RSL-1,0.721,0,0.456,0.392,0,0,0.52,0.091,0.73,0.064,0.29740,6
RSL-1,0.896,0,0.504,0.52,0.329,0.091,0.258,0.204,0.288,0.608,0.36980,7
RSL-1,0,0,0.555,0.433,0.144,0,0.581,0.064,0.491,0.868,0.31360,8
RSL-1,0.612,0.144,0.465,0.721,0.204,0,0.376,0.091,0.465,0.064,0.31420,9
RSL-1,0.233,1.471,0.555,0.329,0,0.288,0.777,0.456,0.064,0.581,0.47540,10
RSL-1,0.52,0.347,0.456,0.064,0.193,0,0.193,0,0.204,0.064,0.20410,11
RSL-1,0.365,0.193,0.193,0.266,0,0.064,0,0,0.064,0.686,0.18310,12
RSL-1,0.504,0.491,1.05,0.329,0,1.064,0.204,0.129,0.091,0.274,0.41360,13
RSL-1,0.664,0.808,0.266,0.376,0.322,0.193,0.182,0,0.392,0.433,0.36360,14
RSL-1,0.144,0.144,0.465,0.658,0,0.091,0.329,0,0.52,0,0.23510,15
RSL-1,0,0.129,0.144,0.413,0.129,0.408,0.129,0.584,0.129,0.347,0.24120,16
RSL-1,0.233,0,0.532,0.816,0.233,0.735,0.064,0.258,0.064,0.347,0.32820,17
RSL-1,0.329,0.233,0.204,0.686,0.064,0.274,0,0,1.02,0.144,0.29540,18
RSL-1,0.129,0.233,0.686,0.322,0,0.581,0.329,0.204,0.064,0.064,0.26120,19
RSL-1,0.258,0.233,0.129,0.091,0.129,0.129,0.064,0.064,0.413,0.274,0.17840,20
RSL-1,0.387,1.168,0,0.413,0,0.274,0.392,0,0.698,0,0.33320,21
RSL-1,0,0.064,0.322,0.712,0.387,0.266,0.408,0,0.612,0.258,0.30290,22
RSL-1,0.129,0.064,0.52,0.976,0.091,0,0.376,0.064,0.064,0.129,0.24130,23
RSL-1,0.182,0.387,0.551,0.392,0.52,0.861,0.322,0.985,0.322,0.516,0.50380,24
RSL-1,0,0.064,0.532,0.912,0.266,1.371,0.347,0.288,0.322,0.129,0.42310,25
RSL-1,0.144,0.322,0.144,0.456,0.551,0.258,0.648,0.456,0.686,0.456,0.41210,26
RSL-1,0,0.387,0.322,1.618,0.064,0.839,0.064,0.465,0,0.129,0.38880,27
RSL-1,0,0.584,0.322,0.645,0.555,0.433,0.258,0.547,0.233,0.52,0.40970,28
RSL-1,0.266,0.129,0.595,1.356,1.328,0.288,0.612,0.365,0.233,0,0.51720,29
RSL-1,0.064,0.064,0.322,1.081,0.551,1.316,0,0.735,0.52,0,0.46530,30
RSL-1,0.376,0.322,0.064,0.735,0.347,0.721,0.777,1.522,0.413,0.347,0.56240,31
RSL-1,0.387,0.47,0.258,1.141,0.322,0.584,2.217,0.266,0.064,0,0.57090,32
RSL-1,0.204,0.129,0.903,1.389,0.808,1.141,1.126,0.808,0.433,0.47,0.74110,33
